base_seed,V_mean,V_std,V_spread,n_doubles,trump_count,has_trump_double,count_points,n_6_high,total_pips,ev_bin
0,41.333333333333336,1.154700538379251,2.0,3,3,1,0,0,29,Strong (>25)
1,14.0,24.979991993593593,48.0,1,3,0,5,3,40,Good (10-25)
2,14.0,24.979991993593593,48.0,2,3,0,15,1,36,Good (10-25)
3,17.333333333333332,25.006665778014735,50.0,1,2,0,10,3,40,Good (10-25)
4,-4.0,22.0,44.0,2,2,1,5,1,49,Weak (-10 to 10)
5,5.333333333333333,22.03028218914441,44.0,3,0,0,0,2,43,Weak (-10 to 10)
6,5.333333333333333,34.019602192461534,68.0,3,1,1,0,1,53,Weak (-10 to 10)
7,21.333333333333332,32.331615074619044,56.0,3,0,0,5,2,45,Good (10-25)
8,5.333333333333333,17.925772879665004,32.0,3,0,0,15,1,47,Weak (-10 to 10)
9,11.333333333333334,28.37839553839035,56.0,0,0,0,0,2,38,Good (10-25)
10,-2.6666666666666665,15.275252316519467,30.0,1,1,0,10,2,41,Weak (-10 to 10)
11,-15.333333333333334,31.895663237081827,62.0,1,1,0,5,2,45,Very Weak (<-10)
12,40.0,3.4641016151377544,6.0,2,3,1,10,1,37,Strong (>25)
13,36.666666666666664,5.773502691896256,10.0,2,1,0,0,1,44,Strong (>25)
14,6.666666666666667,3.0550504633038935,6.0,1,3,0,20,2,45,Weak (-10 to 10)
15,28.666666666666668,11.015141094572204,22.0,3,3,1,20,0,44,Strong (>25)
16,8.666666666666666,23.86070689089771,46.0,1,1,1,0,1,38,Weak (-10 to 10)
17,18.666666666666668,1.154700538379251,2.0,3,0,0,10,2,50,Good (10-25)
18,11.333333333333334,11.015141094572204,20.0,1,0,0,15,3,42,Good (10-25)
19,22.0,16.3707055437449,32.0,3,0,0,15,1,36,Good (10-25)
20,16.0,30.265491900843113,58.0,1,0,0,5,2,53,Good (10-25)
21,34.666666666666664,7.571877794400366,14.0,1,2,0,10,0,36,Strong (>25)
22,11.333333333333334,28.37839553839035,56.0,1,3,0,5,3,51,Good (10-25)
23,10.666666666666666,45.62163229580167,80.0,2,0,0,20,2,52,Good (10-25)
24,15.333333333333334,31.895663237081827,62.0,1,1,0,25,3,51,Good (10-25)
25,4.666666666666667,34.486712417006835,68.0,2,1,0,15,3,47,Weak (-10 to 10)
26,1.3333333333333333,33.605555096342826,66.0,2,2,0,15,2,44,Weak (-10 to 10)
27,4.0,26.0,46.0,2,0,0,0,2,38,Weak (-10 to 10)
28,21.333333333333332,24.193663082165408,46.0,1,0,0,20,3,47,Good (10-25)
29,11.333333333333334,7.571877794400365,14.0,1,0,0,15,3,42,Good (10-25)
30,28.666666666666668,21.385353243127252,38.0,1,3,0,10,2,42,Strong (>25)
31,-3.3333333333333335,41.198705481281,82.0,3,0,0,15,1,46,Weak (-10 to 10)
32,-7.333333333333333,35.00476158086688,70.0,0,1,0,10,4,59,Weak (-10 to 10)
33,24.0,15.874507866387544,30.0,4,0,0,5,2,37,Good (10-25)
34,33.333333333333336,13.316656236958787,24.0,3,2,1,25,3,56,Strong (>25)
35,8.0,26.0,46.0,2,1,0,5,1,30,Weak (-10 to 10)
36,-8.666666666666666,29.280255007997,58.0,0,3,0,5,3,43,Weak (-10 to 10)
37,-1.3333333333333333,5.773502691896257,10.0,1,0,0,10,1,39,Weak (-10 to 10)
38,-20.666666666666668,23.860706890897706,46.0,1,0,0,5,2,35,Very Weak (<-10)
39,33.333333333333336,15.01110699893027,26.0,4,0,0,10,1,42,Strong (>25)
40,-23.333333333333332,27.15388247255507,48.0,1,1,0,0,3,50,Very Weak (<-10)
41,-20.666666666666668,22.479620400116488,44.0,1,1,0,0,2,40,Very Weak (<-10)
42,19.333333333333332,23.00724523564986,46.0,2,1,1,0,2,43,Good (10-25)
43,7.333333333333333,29.143323992525858,58.0,2,2,0,10,3,54,Weak (-10 to 10)
44,31.333333333333332,18.475208614068027,32.0,2,4,1,20,3,55,Strong (>25)
45,8.666666666666666,31.262330900515614,62.0,2,2,0,0,1,42,Weak (-10 to 10)
46,8.666666666666666,6.429100507328637,12.0,2,1,0,5,1,38,Weak (-10 to 10)
47,25.333333333333332,25.403411844343534,44.0,2,0,0,0,3,43,Strong (>25)
48,8.0,15.874507866387544,30.0,3,0,0,15,1,41,Weak (-10 to 10)
49,26.666666666666668,26.558112382722783,46.0,2,0,0,5,3,44,Strong (>25)
50,30.0,19.078784028338912,34.0,2,2,1,10,1,35,Strong (>25)
51,17.333333333333332,21.007935008784976,42.0,1,1,1,10,2,44,Good (10-25)
52,32.666666666666664,16.165807537309522,28.0,3,2,0,10,1,45,Strong (>25)
53,6.666666666666667,29.143323992525858,54.0,1,3,1,5,1,41,Weak (-10 to 10)
54,-20.0,6.928203230275509,12.0,2,2,0,5,2,45,Very Weak (<-10)
55,32.666666666666664,12.858201014657274,24.0,1,3,1,10,0,37,Strong (>25)
56,-7.333333333333333,32.020826556060875,64.0,1,1,0,5,1,40,Weak (-10 to 10)
57,29.333333333333332,20.231987873991358,36.0,2,0,0,10,4,49,Strong (>25)
58,-10.0,23.065125189341593,44.0,2,0,0,5,0,33,Very Weak (<-10)
59,32.666666666666664,8.32666399786453,16.0,1,0,0,0,2,45,Strong (>25)
60,18.0,19.078784028338912,34.0,0,1,0,15,4,51,Good (10-25)
61,14.666666666666666,34.42867022313429,66.0,1,2,0,10,3,48,Good (10-25)
62,34.0,6.928203230275509,12.0,2,4,0,15,2,46,Strong (>25)
63,11.333333333333334,29.143323992525858,58.0,2,2,0,10,2,46,Good (10-25)
64,-28.0,2.0,4.0,3,1,0,5,2,49,Very Weak (<-10)
65,37.333333333333336,8.082903768654761,14.0,3,3,1,20,1,46,Strong (>25)
66,2.6666666666666665,17.243356208503418,34.0,1,3,0,10,3,44,Weak (-10 to 10)
67,23.333333333333332,12.701705922171765,22.0,2,0,0,5,1,45,Good (10-25)
68,9.333333333333334,11.71893055416463,22.0,1,0,0,15,1,40,Weak (-10 to 10)
69,40.0,2.0,4.0,3,0,0,20,2,46,Strong (>25)
70,-4.666666666666667,18.475208614068027,32.0,3,1,1,15,1,41,Weak (-10 to 10)
71,9.333333333333334,28.307831660749525,50.0,1,1,0,5,1,40,Weak (-10 to 10)
72,16.666666666666668,40.463975747982715,72.0,1,2,0,5,2,42,Good (10-25)
73,1.3333333333333333,29.280255007997,58.0,2,1,0,15,3,60,Weak (-10 to 10)
74,-29.333333333333332,12.055427546683417,24.0,0,1,0,0,3,47,Very Weak (<-10)
75,18.0,20.784609690826528,36.0,2,2,1,10,3,45,Good (10-25)
76,16.666666666666668,16.289055630494154,30.0,2,3,1,10,3,50,Good (10-25)
77,36.0,7.211102550927978,14.0,4,0,0,15,1,46,Strong (>25)
78,6.666666666666667,17.47378989610821,34.0,2,0,0,10,1,49,Weak (-10 to 10)
79,10.666666666666666,6.429100507328636,12.0,1,0,0,5,2,42,Good (10-25)
80,39.333333333333336,1.154700538379251,2.0,2,2,0,5,0,35,Strong (>25)
81,13.333333333333334,25.32455988429677,48.0,2,2,0,15,1,38,Good (10-25)
82,33.333333333333336,13.316656236958787,24.0,2,3,0,5,1,37,Strong (>25)
83,-14.666666666666666,29.143323992525858,58.0,0,1,0,5,3,44,Very Weak (<-10)
84,22.0,3.4641016151377544,6.0,2,2,0,20,3,49,Good (10-25)
85,-10.0,28.21347195933177,56.0,3,0,0,5,1,30,Very Weak (<-10)
86,0.6666666666666666,39.1066916694999,78.0,1,1,0,10,1,36,Weak (-10 to 10)
87,3.3333333333333335,38.07011076071796,76.0,4,0,0,5,0,40,Weak (-10 to 10)
88,2.6666666666666665,1.1547005383792515,2.0,0,0,0,10,1,43,Weak (-10 to 10)
89,27.333333333333332,20.428737928059416,38.0,1,0,0,10,2,48,Strong (>25)
90,-20.666666666666668,15.53490693030806,30.0,0,2,0,0,1,40,Very Weak (<-10)
91,20.666666666666668,22.479620400116488,44.0,2,3,0,5,2,41,Good (10-25)
92,-8.666666666666666,34.947579792216416,68.0,1,1,0,15,1,32,Weak (-10 to 10)
93,8.0,5.291502622129181,10.0,1,2,0,10,1,46,Weak (-10 to 10)
94,-0.6666666666666666,37.43438704364389,70.0,2,1,0,0,1,38,Weak (-10 to 10)
95,-10.0,40.44749683231337,76.0,2,1,0,0,2,49,Very Weak (<-10)
96,34.666666666666664,12.701705922171767,22.0,3,4,1,10,4,58,Strong (>25)
97,38.666666666666664,1.1547005383792526,2.0,4,0,0,15,1,44,Strong (>25)
98,7.333333333333333,20.231987873991358,36.0,0,0,0,5,3,40,Weak (-10 to 10)
99,9.333333333333334,16.65332799572906,32.0,2,0,0,20,0,36,Weak (-10 to 10)
100,22.666666666666668,18.147543451754935,36.0,0,4,0,20,2,39,Good (10-25)
101,18.0,20.784609690826528,36.0,2,0,0,25,3,46,Good (10-25)
102,32.666666666666664,8.326663997864532,16.0,4,1,0,15,1,41,Strong (>25)
103,34.666666666666664,12.701705922171767,22.0,1,4,0,5,1,43,Strong (>25)
104,22.0,18.33030277982336,36.0,2,2,0,15,3,48,Good (10-25)
105,18.0,6.928203230275509,12.0,2,1,1,15,2,47,Good (10-25)
106,4.0,40.84115571332428,78.0,2,2,0,20,2,53,Weak (-10 to 10)
107,36.666666666666664,6.110100926607787,12.0,3,0,0,10,1,41,Strong (>25)
108,29.333333333333332,12.055427546683415,24.0,2,0,0,0,3,53,Strong (>25)
109,24.666666666666668,30.022213997860543,52.0,2,0,0,5,3,40,Good (10-25)
110,20.666666666666668,4.618802153517007,8.0,3,2,0,0,1,33,Good (10-25)
111,26.666666666666668,26.558112382722783,46.0,4,2,1,5,0,29,Strong (>25)
112,36.666666666666664,7.571877794400366,14.0,3,2,0,15,2,45,Strong (>25)
113,11.333333333333334,17.243356208503418,34.0,1,1,0,0,2,37,Good (10-25)
114,24.666666666666668,19.2180470738661,38.0,2,2,0,10,3,41,Good (10-25)
115,34.0,13.856406460551018,24.0,2,4,1,10,2,53,Strong (>25)
116,12.666666666666666,26.025628394590846,52.0,3,2,0,20,2,40,Good (10-25)
117,28.0,2.0,4.0,3,0,0,20,1,50,Strong (>25)
118,-26.0,24.24871130596428,42.0,0,0,0,0,2,31,Very Weak (<-10)
119,12.0,36.71511950137164,68.0,1,0,0,10,0,38,Good (10-25)
120,41.333333333333336,1.1547005383792526,2.0,3,3,1,5,2,39,Strong (>25)
121,-0.6666666666666666,7.571877794400365,14.0,0,2,0,10,2,33,Weak (-10 to 10)
122,14.666666666666666,29.143323992525858,58.0,2,1,0,0,2,36,Good (10-25)
123,29.333333333333332,20.231987873991358,36.0,3,3,1,15,0,39,Strong (>25)
124,-29.333333333333332,20.231987873991358,36.0,2,1,0,10,1,45,Very Weak (<-10)
125,36.0,5.291502622129181,10.0,2,3,1,10,2,46,Strong (>25)
126,0.6666666666666666,17.243356208503418,34.0,2,0,0,5,0,28,Weak (-10 to 10)
127,-14.666666666666666,35.90728802532062,68.0,1,0,0,5,2,41,Very Weak (<-10)
128,-8.0,4.0,8.0,1,0,0,0,3,38,Weak (-10 to 10)
129,16.0,16.3707055437449,32.0,2,0,0,5,2,36,Good (10-25)
130,29.333333333333332,20.231987873991358,36.0,2,2,0,5,0,36,Strong (>25)
131,2.0,7.211102550927978,14.0,1,2,0,15,1,39,Weak (-10 to 10)
132,-6.666666666666667,42.15843134336634,82.0,0,1,0,20,4,54,Weak (-10 to 10)
133,11.333333333333334,35.795716689756794,70.0,2,2,0,10,3,51,Good (10-25)
134,42.0,0.0,0.0,3,5,1,15,1,40,Strong (>25)
135,4.666666666666667,19.73153144926499,36.0,1,2,0,0,0,32,Weak (-10 to 10)
136,8.666666666666666,8.082903768654761,14.0,2,2,0,25,2,43,Weak (-10 to 10)
137,36.666666666666664,1.1547005383792526,2.0,2,0,0,10,0,38,Strong (>25)
138,29.333333333333332,11.372481406154654,22.0,2,0,0,0,4,43,Strong (>25)
139,15.333333333333334,28.095076674273972,56.0,1,0,0,5,1,36,Good (10-25)
140,26.666666666666668,24.846193538112296,44.0,3,3,0,5,2,46,Strong (>25)
141,16.666666666666668,24.027761721253466,48.0,2,2,0,15,2,49,Good (10-25)
142,4.666666666666667,22.03028218914441,40.0,1,0,0,0,1,43,Weak (-10 to 10)
143,17.333333333333332,13.012814197295423,26.0,1,1,0,20,2,44,Good (10-25)
144,5.333333333333333,10.066445913694334,20.0,2,3,0,15,2,47,Weak (-10 to 10)
145,1.3333333333333333,35.5715241918776,70.0,0,3,0,0,1,40,Weak (-10 to 10)
146,18.0,18.33030277982336,36.0,2,1,0,15,1,37,Good (10-25)
147,11.333333333333334,16.041612554021285,32.0,2,0,0,10,3,40,Good (10-25)
148,0.0,12.489995996796797,24.0,2,0,0,0,3,46,Weak (-10 to 10)
149,42.0,0.0,0.0,2,0,0,10,1,47,Strong (>25)
150,29.333333333333332,12.055427546683417,24.0,1,3,0,5,1,39,Strong (>25)
151,14.666666666666666,18.583146486355137,36.0,1,1,0,5,0,37,Good (10-25)
152,15.333333333333334,46.18802153517006,80.0,2,2,1,10,2,43,Good (10-25)
153,14.0,43.31281565541543,76.0,2,1,0,15,3,44,Good (10-25)
154,8.666666666666666,5.033222956847167,10.0,3,0,0,10,1,29,Weak (-10 to 10)
155,13.333333333333334,25.32455988429677,48.0,2,2,0,0,1,45,Good (10-25)
156,1.3333333333333333,40.06661120351125,80.0,2,1,1,15,1,47,Weak (-10 to 10)
157,19.333333333333332,23.007245235649865,46.0,2,0,0,0,2,59,Good (10-25)
158,28.0,13.114877048604,26.0,2,0,0,5,2,48,Strong (>25)
159,28.666666666666668,21.385353243127252,38.0,2,0,0,10,0,40,Strong (>25)
160,4.666666666666667,12.055427546683415,24.0,3,1,0,15,2,42,Weak (-10 to 10)
161,4.666666666666667,13.012814197295423,26.0,1,2,1,5,2,36,Weak (-10 to 10)
162,37.333333333333336,6.429100507328636,12.0,0,4,0,15,2,42,Strong (>25)
163,27.333333333333332,12.701705922171767,22.0,0,4,0,5,2,38,Strong (>25)
164,-20.666666666666668,6.429100507328637,12.0,0,2,0,5,2,38,Very Weak (<-10)
165,10.666666666666666,6.110100926607787,12.0,2,1,1,20,1,39,Good (10-25)
166,3.3333333333333335,5.033222956847166,10.0,1,3,1,5,3,46,Weak (-10 to 10)
167,26.666666666666668,11.718930554164631,22.0,3,0,0,15,1,42,Strong (>25)
168,-5.333333333333333,12.055427546683415,24.0,2,0,0,5,2,30,Weak (-10 to 10)
169,35.333333333333336,7.023769168568493,14.0,2,0,0,10,1,48,Strong (>25)
170,28.0,10.583005244258363,20.0,2,1,0,15,2,54,Strong (>25)
171,36.666666666666664,7.571877794400366,14.0,1,4,0,5,0,22,Strong (>25)
172,32.666666666666664,14.46835627614047,26.0,1,3,1,0,2,35,Strong (>25)
173,6.0,31.432467291003423,58.0,2,3,0,5,2,46,Weak (-10 to 10)
174,-24.0,12.165525060596439,22.0,0,1,0,5,2,40,Very Weak (<-10)
175,26.666666666666668,1.1547005383792517,2.0,3,1,1,20,2,49,Strong (>25)
176,-12.0,26.0,46.0,1,2,0,5,2,43,Very Weak (<-10)
177,10.0,33.406586176980134,66.0,2,0,0,0,3,43,Weak (-10 to 10)
178,16.666666666666668,22.03028218914441,44.0,1,0,0,5,2,41,Good (10-25)
179,-2.0,24.576411454889016,46.0,1,0,0,15,3,47,Weak (-10 to 10)
180,24.0,16.0,32.0,2,2,0,10,1,37,Good (10-25)
181,32.0,14.0,26.0,2,3,1,20,1,41,Strong (>25)
182,24.0,19.078784028338912,38.0,0,3,0,0,4,42,Good (10-25)
183,35.333333333333336,6.429100507328636,12.0,2,0,0,5,1,41,Strong (>25)
184,23.333333333333332,3.0550504633038935,6.0,2,3,0,25,1,52,Good (10-25)
185,6.0,28.35489375751565,54.0,1,2,0,0,2,36,Weak (-10 to 10)
186,11.333333333333334,23.860706890897706,46.0,1,2,0,20,2,46,Good (10-25)
187,-2.6666666666666665,16.65332799572906,32.0,1,0,0,5,1,30,Weak (-10 to 10)
188,-6.666666666666667,1.1547005383792517,2.0,0,0,0,0,1,34,Weak (-10 to 10)
189,34.0,13.856406460551018,24.0,2,0,0,0,1,45,Strong (>25)
190,24.0,10.583005244258363,20.0,1,2,0,10,3,49,Good (10-25)
191,26.666666666666668,26.558112382722783,46.0,3,2,1,10,0,39,Strong (>25)
192,31.333333333333332,6.110100926607786,12.0,2,1,0,15,2,39,Strong (>25)
193,12.0,15.0996688705415,30.0,1,2,0,15,1,35,Good (10-25)
194,9.333333333333334,18.036999011291577,36.0,3,0,0,10,2,39,Weak (-10 to 10)
195,18.666666666666668,12.858201014657272,24.0,2,2,0,10,0,29,Good (10-25)
196,2.0,15.0996688705415,30.0,0,3,0,5,3,40,Weak (-10 to 10)
197,1.3333333333333333,36.89625093872456,72.0,1,0,0,25,3,50,Weak (-10 to 10)
198,10.0,18.33030277982336,36.0,1,0,0,25,2,49,Weak (-10 to 10)
199,42.0,0.0,0.0,2,0,0,0,0,32,Strong (>25)
